,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat,Kết quả
0,3,3,0,1,4,1,0,1,2,1,0,2,3,5,5,0,2,1,0,7,4,6,1
1,4,2,7,1,8,1,0,1,2,1,0,3,3,5,5,0,2,1,0,7,4,6,1
2,3,2,7,1,4,1,0,1,2,1,0,3,2,7,7,0,2,1,0,7,4,6,1
3,3,3,7,1,4,1,0,1,2,1,0,2,2,7,5,0,2,1,0,7,4,6,1
4,3,2,7,1,3,1,0,1,2,1,0,3,3,7,5,0,2,1,0,7,4,6,1
5,3,2,0,1,8,1,0,1,2,1,0,2,3,7,5,0,2,1,0,7,4,1,1
6,3,2,7,1,4,1,0,1,2,1,0,3,3,5,5,0,2,1,0,7,4,3,1
7,3,3,0,1,8,1,0,1,2,1,0,3,2,5,5,0,2,1,0,7,4,3,1
8,2,2,7,1,3,1,0,1,2,1,0,3,3,7,7,0,2,1,0,7,4,6,1
9,2,0,8,1,6,1,1,0,7,0,0,2,3,7,7,0,2,2,4,7,2,0,0
10,2,3,7,1,8,1,0,1,2,1,0,2,3,7,7,0,2,1,0,7,4,6,1
11,2,3,7,1,4,1,0,1,2,1,0,3,3,5,7,0,2,1,0,7,4,1,1
12,3,2,0,1,3,1,0,1,2,1,0,2,2,5,7,0,2,1,0,7,4,1,1
13,2,3,7,1,3,1,0,1,2,1,0,3,3,5,5,0,2,1,0,7,4,6,1
14,2,3,0,1,3,1,0,1,2,1,0,3,2,7,7,0,2,1,0,7,4,6,1
15,2,3,0,1,4,1,0,1,2,1,0,2,3,7,7,0,2,1,0,7,4,3,1
16,2,3,0,1,3,1,0,1,2,1,0,2,2,7,7,0,2,1,0,7,4,1,1
17,2,0,3,1,6,1,1,0,7,0,0,3,2,7,7,0,2,2,4,7,2,0,0
18,3,2,7,1,4,1,0,1,2,1,0,2,3,7,5,0,2,1,0,7,4,1,1
19,3,2,7,1,4,1,0,1,2,1,0,3,2,7,5,0,2,1,0,7,4,1,1
20,2,2,7,1,3,1,0,1,2,1,0,3,3,7,7,0,2,1,0,7,4,3,1
21,2,3,0,1,3,1,0,1,2,1,0,2,2,5,7,0,2,1,0,7,4,3,1
22,4,3,7,1,3,1,0,1,2,1,0,2,3,5,5,0,2,1,0,7,4,3,1
23,4,2,7,1,4,1,0,1,2,1,0,2,3,7,7,0,2,1,0,7,4,6,1
24,3,2,7,1,8,1,0,1,2,1,0,2,2,5,5,0,2,1,0,7,4,6,1
25,2,3,0,1,4,1,0,1,2,1,0,2,2,7,7,0,2,1,0,7,4,1,1
